Rank,country,Capital,Continent,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000
215,Marshall Islands,Majuro,Oceania,13066,14062,15374,18154,23969,27047,31988,38962,46047,50702,54224
180,Martinique,Fort-de-France,North America,231994,262164,290092,313791,326428,328795,333786,348728,374271,409942,432543
126,Mauritania,Nouakchott,Africa,658555,738577,838478,965621,1122198,1302436,1506694,1746265,2006027,2380341,2695003
157,Mauritius,Port Louis,Africa,525443,596866,676683,758628,830115,888292,954865,1025769,1090290,1160207,1215930
182,Mayotte,Mamoudzou,Africa,20544,22942,26165,30165,35383,42097,52233,68287,92659,124941,159215
10,Mexico,Mexico City,North America,27600133,31452141,36268055,42737991,50289306,58691882,67705186,74872006,81720428,89969572,97873442
194,Micronesia,Palikir,Oceania,161656,178572,200558,229207,58989,289396,76299,372310,98603,468846,111709
135,Moldova,Chisinau,Europe,2370311,2714714,3133267,3476796,3711140,3913586,4103240,4300695,4480199,4461231,4251573
217,Monaco,Monaco,Europe,19729,20430,21797,23022,24270,25524,27076,28807,30329,31482,32465
134,Mongolia,Ulaanbaatar,Asia,781260,844997,977903,1134072,1293880,1485691,1697780,1919744,2161433,2330334,2450979
169,Montenegro,Podgorica,Europe,402260,441379,473046,503188,530268,559279,589324,604622,621442,632066,633324
230,Montserrat,Brades,North America,12989,13432,12100,11725,11402,11533,11452,11113,10805,8342,5138
40,Morocco,Rabat,Africa,8946209,10242168,11769774,13381880,15274351,17325325,19678444,22335077,24570814,26599048,28554415
48,Mozambique,Maputo,Africa,5920215,6318904,6788375,7524154,8411676,9703732,11413587,12680065,13303459,15594830,17768505
26,Myanmar,Nay Pyi Taw,Asia,17731818,19522788,21720697,24286878,27284112,30344276,33465781,36881020,40099553,42880186,45538332
145,Namibia,Windhoek,Africa,514774,547430,590181,657887,754467,876572,975994,1093311,1369011,1605370,1819141
225,Nauru,Yaren,Oceania,3354,3818,4582,5804,6663,7199,7635,8313,9598,10316,10377
49,Nepal,Kathmandu,Asia,8398945,9284895,10167941,11232951,12501285,13925541,15600442,17540571,19616530,22305571,24559500
71,Netherlands,Amsterdam,Europe,10093554,10767906,11493117,12275791,13037686,13663969,14130387,14515704,14944548,15446668,15899135
185,New Caledonia,Nouméa,Oceania,63860,69989,81236,94803,110982,136601,148599,159702,177264,199701,221537
123,New Zealand,Wellington,Oceania,1911608,2140976,2381189,2638316,2824061,3095428,3147168,3268356,3397389,3673893,3855266
106,Nicaragua,Managua,North America,1330442,1539551,1789684,2084097,2444767,2857461,3303309,3763034,4227820,4721929,5123222
54,Niger,Niamey,Africa,2569191,3018555,3497431,4053524,4669708,5339497,6173177,7187618,8370647,9813918,11622665
6,Nigeria,Abuja,Africa,37189369,40839223,44928342,49925799,55569264,62851312,72951439,83585251,95214257,108187610,122851984
232,Niue,Alofi,Oceania,4485,4673,4876,5316,5185,4270,3637,2848,2533,2339,2074
56,North Korea,Pyongyang,Asia,11103379,10360269,11655666,13105946,14996879,16723252,17973650,19325487,20799523,22385536,23367059
150,North Macedonia,Skopje,Europe,1251433,1379140,1462368,1547982,1656783,1774013,1907023,2001504,2044174,1983964,2037936
210,Northern Mariana Islands,Saipan,Oceania,7063,7635,8702,10229,10143,15269,17613,32041,48002,48717,80338
120,Norway,Oslo,Europe,3281416,3429090,3581520,3723510,3875546,4007466,4085776,4152637,4241636,4359333,4491202
127,Oman,Muscat,Asia,457317,492416,536553,593808,670693,787194,1017462,1353289,1804524,2172672,2344253
5,Pakistan,Islamabad,Asia,37696264,41023128,45954226,51841626,59290872,68126999,80624057,97121552,115414069,133117476,154369924
222,Palau,Ngerulmud,Oceania,7430,8252,9446,10563,11366,12607,12252,13644,15293,17209,19726
128,Panama,Panama City,North America,861079,980004,1126989,1310556,1516188,1734876,1956987,2197065,2449968,2716067,3001731
93,Papua New Guinea,Port Moresby,Oceania,1542854,1734921,1985666,2222178,2489059,2794462,3104788,3447579,3864972,4616439,5508297
109,Paraguay,Asunción,South America,1504810,1685747,1894829,2143153,2408787,2714664,3078912,3535498,4059195,4603917,5123819
44,Peru,Lima,South America,7678967,8825897,10172207,11781581,13562371,15441497,17492406,19746610,22109099,24449055,26654439
13,Philippines,Manila,Asia,18469878,23027910,28486871,32805538,37435586,42394433,48419546,54812660,61558898,69250468,77958223
37,Poland,Warsaw,Europe,24786236,27099199,29509903,31224081,32482943,33899770,35521429,37179160,38064255,38401978,38504431
92,Portugal,Lisbon,Europe,8416952,8665451,8882469,8899092,8683631,9202709,9785252,9996896,10007346,10051248,10300626
136,Puerto Rico,San Juan,North America,2229742,2309782,2365072,2564270,2737619,2972267,3214568,3406279,3543776,3704947,3827108
143,Qatar,Doha,Asia,24288,28668,36385,64843,118007,195043,277450,365868,441675,515133,645937
